15-Aug-2018 20:10:10
Velocidad critica: 1.7943
Frecuencia: 0.8004

   Vcr     Re     Im
1.0000 1.0050 1.0101
1.0151 1.0201 1.0251
1.0302 1.0352 1.0402
1.0452 1.0503 1.0553
1.0603 1.0653 1.0704
1.0754 1.0804 1.0854
1.0905 1.0955 1.1005
1.1055 1.1106 1.1156
1.1206 1.1256 1.1307
1.1357 1.1407 1.1457
1.1508 1.1558 1.1608
1.1658 1.1709 1.1759
1.1809 1.1859 1.1910
1.1960 1.2010 1.2060
1.2111 1.2161 1.2211
1.2261 1.2312 1.2362
1.2412 1.2462 1.2513
1.2563 1.2613 1.2663
1.2714 1.2764 1.2814
1.2864 1.2915 1.2965
1.3015 1.3065 1.3116
1.3166 1.3216 1.3266
1.3317 1.3367 1.3417
1.3467 1.3518 1.3568
1.3618 1.3668 1.3719
1.3769 1.3819 1.3869
1.3920 1.3970 1.4020
1.4070 1.4121 1.4171
1.4221 1.4271 1.4322
1.4372 1.4422 1.4472
1.4523 1.4573 1.4623
1.4673 1.4724 1.4774
1.4824 1.4874 1.4925
1.4975 1.5025 1.5075
1.5126 1.5176 1.5226
1.5276 1.5327 1.5377
1.5427 1.5477 1.5528
1.5578 1.5628 1.5678
1.5729 1.5779 1.5829
1.5879 1.5930 1.5980
1.6030 1.6080 1.6131
1.6181 1.6231 1.6281
1.6332 1.6382 1.6432
1.6482 1.6533 1.6583
1.6633 1.6683 1.6734
1.6784 1.6834 1.6884
1.6935 1.6985 1.7035
1.7085 1.7136 1.7186
1.7236 1.7286 1.7337
1.7387 1.7437 1.7487
1.7538 1.7588 1.7638
1.7688 1.7739 1.7789
1.7839 1.7889 1.7940
1.7990 1.8040 1.8090
1.8141 1.8191 1.8241
1.8291 1.8342 1.8392
1.8442 1.8492 1.8543
1.8593 1.8643 1.8693
1.8744 1.8794 1.8844
1.8894 1.8945 1.8995
1.9045 1.9095 1.9146
1.9196 1.9246 1.9296
1.9347 1.9397 1.9447
1.9497 1.9548 1.9598
1.9648 1.9698 1.9749
1.9799 1.9849 1.9899
1.9950 2.0000 0.9313
0.9306 0.9299 0.9293
0.9286 0.9279 0.9272
0.9265 0.9258 0.9251
0.9244 0.9237 0.9230
0.9223 0.9215 0.9208
