L	Ancho (B)	Alto (D)	fiy	fiz	fix	Cd	CL	dCd	dCL	V	H	Iu	Iv	Yr	Zr	B
3.4	13.64	7.74	1	1	0	1.83	1.27	-0.3	0.5	38.24	192	0.11	0.08	1	1	13.64
3.4	13.64	7.74	0.9444	0.9504	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.8884	0.8994	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.8321	0.8472	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.7757	0.7941	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.7192	0.7403	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.6629	0.6863	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.607	0.6327	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.5517	0.58	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.4973	0.529	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.4439	0.4802	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.3918	0.4344	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.3405	0.3903	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.2945	0.3597	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.251	0.33	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.2203	0.3105	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.191	0.2918	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.163	0.2738	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.1365	0.2565	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.1116	0.2399	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.0883	0.2241	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.0666	0.2089	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.0464	0.1944	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.028	0.1805	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.0114	0.1677	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	-0.0073	0.1518	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	-0.0189	0.1407	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	-0.0287	0.1304	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	-0.0368	0.1208	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	-0.0435	0.1117	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	-0.0488	0.1029	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	-0.0526	0.0946	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	-0.0551	0.0866	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	-0.0562	0.0788	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	-0.056	0.0713	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	-0.0545	0.064	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	-0.0505	0.0544	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	-0.0449	0.0455	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	-0.0382	0.0372	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	-0.0309	0.0302	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	-0.0236	0.0237	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	-0.0169	0.017	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	-0.011	0.0118	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	-0.0059	0.0071	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	-0.0013	0.0008	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.0003	-0.0033	0	1.83	1.27	-0.3	0.5							
3.4	13.64	7.74	0.0008	-0.0052	0	1.83	1.27	-0.3	0.5							
