No.	L	Masa	FiY	fiZ	fiX	C	w
1	3.4	9000	1	1	0	0.05	6.0822
2	3.4	15400	0.9444	0.9504	0	0.05	3.9671
3	3.4	13750	0.8884	0.8994	0		
4	3.4	13500	0.8321	0.8472	0		
5	3.4	15400	0.7757	0.7941	0		
6	3.4	12900	0.7192	0.7403	0		
7	3.4	12900	0.6629	0.6863	0		
8	3.4	14100	0.607	0.6327	0		
9	3.4	14100	0.5517	0.58	0		
10	3.4	13900	0.4973	0.529	0		
11	3.4	15150	0.4439	0.4802	0		
12	3.4	17200	0.3918	0.4344	0		
13	3.4	33735	0.3405	0.3903	0		
14	3.4	54525	0.2945	0.3597	0		
15	3.4	41735	0.251	0.33	0		
16	3.4	41880	0.2203	0.3105	0		
17	3.4	42705	0.191	0.2918	0		
18	3.4	42455	0.163	0.2738	0		
19	3.4	42470	0.1365	0.2565	0		
20	3.4	44965	0.1116	0.2399	0		
21	3.4	46525	0.0883	0.2241	0		
22	3.4	46535	0.0666	0.2089	0		
23	3.4	46795	0.0464	0.1944	0		
24	3.4	47610	0.028	0.1805	0		
25	3.4	39545	0.0114	0.1677	0		
26	3.4	40090	-0.0073	0.1518	0		
27	3.4	42575	-0.0189	0.1407	0		
28	3.4	46800	-0.0287	0.1304	0		
29	3.4	46535	-0.0368	0.1208	0		
30	3.4	46540	-0.0435	0.1117	0		
31	3.4	45470	-0.0488	0.1029	0		
32	3.4	44385	-0.0526	0.0946	0		
33	3.4	43380	-0.0551	0.0866	0		
34	3.4	43380	-0.0562	0.0788	0		
35	3.4	42505	-0.056	0.0713	0		
36	3.4	58030	-0.0545	0.064	0		
37	3.4	59185	-0.0505	0.0544	0		
38	3.4	59100	-0.0449	0.0455	0		
39	3.4	64165	-0.0382	0.0372	0		
40	3.4	54050	-0.0309	0.0302	0		
41	3.4	95450	-0.0236	0.0237	0		
42	3.4	156300	-0.0169	0.017	0		
43	3.4	156300	-0.011	0.0118	0		
44	3.4	152050	-0.0059	0.0071	0		
45	3.4	178530	-0.0013	0.0008	0		
46	3.4	107700	0.0003	-0.0033	0		
47	3.4	29795	0.0008	-0.0052	0		
