Lexp	FiZ	FiX	kAz	aZ	Lz	sQz	bZ	Velocidad	St	Zr	Ancho	Alto
3.4	1	0	0.2	0.4	2	1	0.15	38.24	0.11	1	13.64	7.74
3.4	0.9504	0										
3.4	0.8994	0										
3.4	0.8472	0										
3.4	0.7941	0										
3.4	0.7403	0										
3.4	0.6863	0										
3.4	0.6327	0										
3.4	0.58	0										
3.4	0.529	0										
3.4	0.4802	0										
3.4	0.4344	0										
3.4	0.3903	0										
3.4	0.3597	0										
3.4	0.33	0										
3.4	0.3105	0										
3.4	0.2918	0										
3.4	0.2738	0										
3.4	0.2565	0										
3.4	0.2399	0										
3.4	0.2241	0										
3.4	0.2089	0										
